param,block,I_rms,I_max,D_min,I_min,asymmetry,flag+,flag-,clog_driver,source
velocity,forcing,0.2825593826902623,0.30238217931765726,0.08983565601375831,-0.16462027335690874,0.2776337082574778,OK,OK,false,Schijven2013 T1 filtration rate
temperature,forcing,0.013889639372725547,0.02142778997563778,0.0021732648847166414,0.0017968613281984732,0.5268748838202699,OK,OK,false,Campos2006/Manriquez seasonal
influent_PAT,forcing,0.13314058278345275,0.43429448190325187,0.018985922822847667,0.23069060469997943,0.08453528242438509,OK,OK,false,Manriquez B.1 PAT (challenge multiplier)
dispersivity,transport,0.01076270958342332,0.01577574726695585,0.0026136294913080005,-0.00510903326208571,0.21171830618565277,OK,OK,false,Schijven2013 T1 dispersivity
transport_P,transport,0.0020989340967783247,0.0026025065948209296,-0.003980333470885111,0.0014702456918581927,3.2650251261595113,OK,OK,false,Lund phase transfer
attach_sand,transport,0.38237578377930814,0.5125498974208139,0.08983565601375831,0.1586457956295358,0.3146108464691608,OK,OK,false,Diehl2025/Lund b_sand
sand_pathogen,transport,0.3436589644042291,0.3495462296172234,0.08983565601375831,0.0,1.705009426577659,OK,OK,false,Schijven2013 T4 sticking α (geo-mean)
mu_HET,kinetics,0.0001496963305671574,0.00023490047092306993,4.333672876166705e-6,4.689753808513168e-6,0.33396768231312957,OK,OK,false,Campos2006 kgmaxa
mu_PHO,kinetics,0.0012321568412712307,0.001957667117652129,3.1304073477844696e-5,3.402366413601812e-5,0.04415546824387379,OK,OK,false,Campos2006 kgmaxb
d_HET,kinetics,0.000737536035800928,0.0010319441873042462,6.493879592217588e-5,-0.00013535539670460643,0.24527032780237254,OK,OK,false,Campos2006 T3 kdb
hydrolysis,kinetics,0.0015958314468591105,0.0025580083633391397,2.3218756369736138e-5,-5.022919591384827e-5,0.3387836795648671,OK,OK,false,Campos2006 T3 kh
theta_growth,kinetics,0.00027844105825773207,0.0004476773436617592,4.3126316519592756e-6,-8.227652191256534e-6,0.29102281010694947,OK,OK,false,Campos2006 T2 θ_growth=1.047 (dev)
theta_death,kinetics,0.003816043197757153,0.005759661446434153,0.0001217930992470917,0.0001789323682191226,0.0512413883931745,OK,OK,false,Campos2006 T2 θ_death=1.066 (dev)
K_O2_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,O2 half-sat (Reichert)
K_DOM_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksCd
K_HPO4_HET,kinetics,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Campos2006 T3 ksp (P-limiting)
marker_growth,pathogen,0.00022479888177536704,0.0003634623764538822,2.113293618039025e-5,-4.573879779285328e-5,0.3409032523247466,OK,OK,false,Manriquez B.4 μ̂_PAT
inactivation,pathogen,4.938957293015734e-5,8.036731039102248e-5,9.841914841102195e-6,1.0649360016976647e-5,0.3315072946802268,OK,OK,false,"Schijven2013 µl,µs; Manriquez B.4"
bacterivory,pathogen,0.002721328914689945,0.00295271652662107,0.0014626459436472006,0.001516015444851837,0.6159999935159117,OK,OK,false,Manriquez B.4 p̂_PAT
beta_porosity,biofilm,0.3648306884148999,0.489444355633586,0.08983565601375831,-0.15871988254436847,0.289971904172379,OK,OK,false,Lund β=0.99 (gap 1−β)
zeta_0,biofilm,0.02911973884483933,0.04273653269831023,0.0058807053514756125,0.01464669039656456,0.22163539847496475,OK,OK,false,Cahn-Hilliard cohesion
kappa,biofilm,0.0,0.0,0.0,0.0,0.0,OK,OK,false,Cahn-Hilliard interfacial width (sub-grid)
zeta_1,biofilm,0.0022755302196558248,0.004746534315042863,0.0004365009604074821,-0.0010320595365845152,0.3832158737704751,OK,OK,false,Cahn-Hilliard stable-fraction parameter
detach_scale,biofilm,2.3961831793221183e-6,3.6247795441363227e-6,3.088407365958723e-7,-6.683438115720971e-7,0.3376761294132554,OK,OK,false,detachment-law scale
light_att_water,light,0.00032808452906176925,0.0005670894585618347,0.0,0.0,0.2679898151365093,OK,OK,false,Lund supernatant optical depth
light_att_sand,light,0.0007778225935906101,0.0013116723743242323,0.0,0.0,1.3872008868410217,OK,OK,false,Lund sand-bed optical depth
attenuation_P,light,9.526128162270222e-6,1.7983636637344093e-5,0.0,0.0,0.3373244870395525,OK,OK,false,Lund biofilm self-shading (all particles)
